Título de la lista de reproducción,Visualizaciones de la lista de reproducción,Tiempo de visualización de la lista de reproducción (horas),Duración media de las visualizaciones de la lista de reproducción,Datos duración media de las visualizaciones de la lista de reproducción
Europa Universalis 4 - Cooperativo (Aragón),1055,151.8807,8.633333333,0:08:38
Ark Survival Evolved - Final Destroyer's legacy on Official Server,1213,77.9201,3.85,0:03:51
Gran España - Europa Universalis IV,925,58.9797,3.816666667,0:03:49
Napoleón Total War con España,798,51.6925,3.883333333,0:03:53
Naval Action - Facción española,610,75.8269,7.45,0:07:27
Imperivm RTC - HD Edition Steam,459,28.2858,3.683333333,0:03:41
League of Legends SirAlatriste,434,9.6547,1.333333333,0:01:20
Campaña de las Cruzadas - Principado de Jerusalén,147,9.4728,3.85,0:03:51
Odisea en Ámerica - Cooperativa,126,7.3479,3.483333333,0:03:29
¿Hasta donde llegarías por Roma? - Rome 2: Total War,87,2.2601,1.55,0:01:33
Esparta,110,5.7168,3.116666667,0:03:07
MONTAGES SIRALATRISTE,66,1.5628,1.416666667,0:01:25
Highlights SirAlatriste,71,1.3211,1.1,0:01:06
Montaje legacy,61,1.7275,1.683333333,0:01:41
Empire Total War Darthmod España,53,2.3104,2.6,0:02:36
Formula 1 - Grandes Premios,24,0.361,0.9,0:00:54
Streams SirAlatriste,7,0.0075,0.05,0:00:03
Star Wars Battlefront I,9,1.3036,8.683333333,0:08:41
OTG Official Team Gainz Five,10,0.1448,0.8666666667,0:00:52
Campaña Ironman Castilla y España,25,0.0198,0.03333333333,0:00:02
Otros juegos,6,0.2413,2.4,0:02:24
LoL Shorts SirAlatriste,1,0.0025,0.1333333333,0:00:08