Área geográfica,Visualizaciones,Tiempo de visualización (horas),Latitud,Longitud
ES,111935,"4986,0129","40,4637","-3,7492"
BR,21084,"910,2868","-14,235","-51,9253"
KR,12003,"38,062","35,9078","127,7669"
MX,7709,"251,133","23,6345","-102,5528"
AR,4507,"94,3159","-38,416","-63,6167"
US,4198,"29,6118","37,0902","-95,7129"
TR,3756,"13,1743","38,9637","35,2433"
VN,2887,"12,5774","14,0583","108,2772"
CL,2883,"26,0483","-35,675","-71,5429"
RU,1963,"6,316","61,524","105,3188"
DE,1759,"16,0901","51,1657","10,4515"
PE,1739,"23,2812","-9,19","-75,0152"
CO,1715,"38,0099","4,5709","-74,2973"
TW,1404,"6,2368","23,6978","120,9605"
PL,1392,"7,0543","51,9194","19,1451"
FR,1310,"8,6071","46,6033","1,8883"
ID,1159,"5,4292","-0,7893","113,9213"
PH,1001,"4,1655","12,8797","121,774"
CA,847,"4,1892","56,1304","-106,3468"
IT,820,"11,5383","41,8719","12,5674"
GB,732,"7,5944","55,3781","-3,436"
TH,618,"4,0839","15,87","100,9925"
PT,502,"16,3804","39,3999","-8,2245"
JP,487,"2,5563","36,2048","138,2529"
SE,350,"3,9618","60,1282","18,6435"
IN,349,"1,2685","20,5937","78,9629"
BO,324,"1,7352","-16,2902","-63,5887"
GR,299,"1,2958","39,0742","21,8243"
AU,295,"1,2977","-25,2744","133,7751"
HK,281,"1,0356","22,3193","114,1694"
EC,266,"1,0327","-1,8312","-78,1834"
VE,262,"4,7391","6,4238","-66,5897"
RO,252,"1,7191","45,9432","24,9668"
CZ,251,"1,0327","49,8175","15,473"
NL,251,"1,2057","52,1326","5,2913"
MY,250,"0,8976","4,2105","101,9758"
UA,188,"0,6626","48,3794","31,1656"
RS,176,"0,7158","44,0165","21,0059"
EG,145,"0,4553","26,8206","30,8025"
KZ,143,"0,4306","48,0196","66,9237"
DK,139,"0,6278","56,2639","9,5018"
CR,138,"1,4266","9,7489","-83,7534"
HU,131,"1,628","47,1625","19,5033"
AT,121,"0,6268","47,5162","14,5501"
DO,120,"3,6208","18,7357","-70,1627"
UY,114,"0,5824","-32,5228","-55,7658"
BE,108,"0,4001","50,5039","4,4699"
SG,101,"0,384","1,3521","103,8198"
CH,93,"0,3481","46,8182","8,2275"
PA,78,"0,2756","8,5379","-80,7821"
BG,74,"0,3814","42,7339","25,4858"
HR,65,"0,3291","45,1","15,2"
GT,54,"3,2383","15,7835","-90,2308"
MM,53,"0,1671","21,9162","95,956"
NO,51,"0,166","60,472","8,4689"
SA,50,"0,1343","23,8859","45,0792"
PR,48,"0,5768","18,2208","-66,5901"
SK,44,"0,1156","48,669","19,699"
SV,43,"1,0095","13,7942","-88,8965"
PY,40,"0,1458","-23,442","-58,4438"
BY,36,"0,1076","53,7098","27,9534"
IL,35,"0,0926","31,0461","34,8516"
TN,35,"0,1003","33,8869","9,5375"
UZ,34,"0,0899","41,3775","64,5853"
GE,33,"0,1546","42,3154","43,3569"
FI,31,"0,0786","61,9241","25,7482"
IQ,28,"0,0731","33,2232","43,6793"
KG,27,"0,0562","41,2044","74,7661"
ZA,24,"0,0654","-30,5595","22,9375"
HN,23,"0,0738","15,1998","-86,2419"
DZ,21,"0,062","28,0339","1,6596"
KH,17,"0,048","12,5657","104,991"
MD,14,"0,0274","47,4116","28,3699"
LT,13,"0,0372","55,1694","23,8813"
NZ,13,"0,0302","-40,9006","174,886"
BD,12,"0,0235","23,685","90,3563"
MA,12,"0,0612","31,7917","-7,0926"
CY,11,"0,03","35,1264","33,4299"
IE,10,"0,026","53,1424","-7,6921"
NI,10,"0,0441","12,8654","-85,2072"